list_entry,reason,title,statutory_address
1021708,churchyard_feature,"Turner Memorial in the Churchyard About 45 Metres South of Lady Chapel of the Church of St Michael","TURNER MEMORIAL IN THE CHURCHYARD ABOUT 45 METRES SOUTH OF LADY CHAPEL OF THE CHURCH OF ST MICHAEL, CHURCH WALK"
1021709,churchyard_feature,"Watson Memorial in the Churchyard About 8 Metres South of Lady Chapel of Church of St Michael","WATSON MEMORIAL IN THE CHURCHYARD ABOUT 8 METRES SOUTH OF LADY CHAPEL OF CHURCH OF ST MICHAEL, CHURCH WALK"
1022093,monument,"Unidentified Monument About 1 Metre South of South Wall of Former Corsham Congregational Chapel","UNIDENTIFIED MONUMENT ABOUT 1 METRE SOUTH OF SOUTH WALL OF FORMER CORSHAM CONGREGATIONAL CHAPEL, PICKWICK ROAD"
1023906,monument,"Barling Monument in the Churchyard About 4 Metres West of Baptist Church","BARLING MONUMENT IN THE CHURCHYARD ABOUT 4 METRES WEST OF BAPTIST CHURCH, SOUTH LANE"
1025072,gate_related,"Attached Walls, Railings and Gates to South East Side of St James' Church","ATTACHED WALLS, RAILINGS AND GATES TO SOUTH EAST SIDE OF ST JAMES&#x27; CHURCH, ST JAMES PARADE"
1025285,railings_related,"Walls and Railings to Wesleyan Methodist Church","WALLS AND RAILINGS TO WESLEYAN METHODIST CHURCH, WEST STREET"
1025465,monument,"Monument of Captain William Preston RN, Approximately 1 Metre South of South Corner of Church","MONUMENT OF CAPTAIN WILLIAM PRESTON RN, APPROXIMATELY 1 METRE SOUTH OF SOUTH CORNER OF CHURCH, HIGH STREET"
1025509,monument,"Monument Approximately 5 Metres South of South Porch of Church","MONUMENT APPROXIMATELY 5 METRES SOUTH OF SOUTH PORCH OF CHURCH, CHURCH STREET"
1025513,monument,"Monument Approximately 20 Metres South of Nave of Church","MONUMENT APPROXIMATELY 20 METRES SOUTH OF NAVE OF CHURCH, CHURCH STREET"
1025514,monument,"Kelsley Monument Approximately 5 Metres South of Chancel of Church","KELSLEY MONUMENT APPROXIMATELY 5 METRES SOUTH OF CHANCEL OF CHURCH, CHURCH STREET"
1025517,monument,"Monument to Henry Bowles, 1 Metre East of East Window of Church","MONUMENT TO HENRY BOWLES, 1 METRE EAST OF EAST WINDOW OF CHURCH, CHURCH STREET"
1025549,monument,"Monument to Robert Chatfield Approximately 5 Metres South of Tower of Church","MONUMENT TO ROBERT CHATFIELD APPROXIMATELY 5 METRES SOUTH OF TOWER OF CHURCH, CHURCH STREET"
1026294,churchyard_feature,"Building at North West Corner of the Churchyard of St Giles's Church","BUILDING AT NORTH WEST CORNER OF THE CHURCHYARD OF ST GILES&#x27;S CHURCH"
1027870,dovecote,"Ruined Dovecote, 90 Yards North West of Church","RUINED DOVECOTE, 90 YARDS NORTH WEST OF CHURCH, ST JULIANS LANE"
1029259,railings_related,"Entrance Walls and Railings to Holy Trinity Church","ENTRANCE WALLS AND RAILINGS TO HOLY TRINITY CHURCH, HIGH STREET"
1029337,telephone_kiosk,"K6 Telephone Kiosk Outside Ripley Methodist Church","K6 TELEPHONE KIOSK OUTSIDE RIPLEY METHODIST CHURCH, HIGH STREET"
1031256,churchyard_feature,"Bowl of Former Font, Situated in the Churchyard Immediately to the West of the Church","BOWL OF FORMER FONT, SITUATED IN THE CHURCHYARD IMMEDIATELY TO THE WEST OF THE CHURCH"
1031537,monument,"Pyramid Monument Approximately 25 Metres North West of St Anne's Limehouse Parish Church","PYRAMID MONUMENT APPROXIMATELY 25 METRES NORTH WEST OF ST ANNE&#x27;S LIMEHOUSE PARISH CHURCH, COMMERCIAL ROAD E14"
1032728,dovecote,"Dovecote, 130 Metres West of Chapel Farmhouse","DOVECOTE, 130 METRES WEST OF CHAPEL FARMHOUSE, CHAPEL GREEN"
1033181,monument,"Monument to Reverend Anthony Wingfield 3 Metres South of Chancel of Church","MONUMENT TO REVEREND ANTHONY WINGFIELD 3 METRES SOUTH OF CHANCEL OF CHURCH, THE STREET"
1034345,monument,"Monument Approximately 12 Metres South of East Wall of Oglander Chapel","MONUMENT APPROXIMATELY 12 METRES SOUTH OF EAST WALL OF OGLANDER CHAPEL, HIGH STREET"
1034353,monument,"Monument to Thomas Wiseman Approximately 3 Metres East of North Corner of De Aula Chapel","MONUMENT TO THOMAS WISEMAN APPROXIMATELY 3 METRES EAST OF NORTH CORNER OF DE AULA CHAPEL, HIGH STREET"
1034579,railings_related,"Railings in front of Castlehold Baptist Church","Castlehold Baptist Church, High Street, Newport, PO30 1BH"
1036047,wall_related,"Wall and Gate to North of Former Wesleyan Methodist Church","WALL AND GATE TO NORTH OF FORMER WESLEYAN METHODIST CHURCH, COPPICE HILL"
1036048,gate_related,"4 Gates With Lamp Bracket Over at South End of Pathway Leading to Former Wesleyan Methodist Church","4 GATES WITH LAMP BRACKET OVER AT SOUTH END OF PATHWAY LEADING TO FORMER WESLEYAN METHODIST CHURCH, COPPICE HILL"
1036383,monument,"Five Monuments in the Churchyard, Between 12 and 18 Metres South of South Chapel of Church of St John the Baptist","FIVE MONUMENTS IN THE CHURCHYARD, BETWEEN 12 AND 18 METRES SOUTH OF SOUTH CHAPEL OF CHURCH OF ST JOHN THE BAPTIST&#xA;, CHURCH LANE"
1036401,monument,"Young Monument in the Churchyard About 7 Metres South of Chapel of Church of St Mary","YOUNG MONUMENT IN THE CHURCHYARD ABOUT 7 METRES SOUTH OF CHAPEL OF CHURCH OF ST MARY"
